Description,Brand,Price,Img url,Country
Dina Farms Milk Chocolate - 250ml,Dina Farms,13.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2a/h72/47699694157854/200Wx200H_384020_main.jpg,Egypt
Dina Farms Pure Ghee - 275 gram,Dina Farms,117.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h60/h17/49727381569566/200Wx200H_611416_main.jpg,Egypt
Dina Farms Mango Juice - 850 ml,Dina Farms,43.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8e/h20/47699721781278/200Wx200H_528940_main.jpg,Egypt
Dina Farms Rayeb Milk - 250ml,Dina Farms,12.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h19/hd6/47699689373726/200Wx200H_325604_main.jpg,Egypt
Dina Farms Natural Yogurt - 105 gram,Dina Farms,7.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he5/h26/47699700842526/200Wx200H_297373_main.jpg,Egypt
Dina Farms Pomegranate Fresh Juice - 850 ml,Dina Farms,43.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb7/h24/47699721617438/200Wx200H_549649_main.jpg,Egypt
Dina Farms Lemon Mint Juice - 850 ml,Dina Farms,32.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbe/h83/47699720962078/200Wx200H_528942_main.jpg,Egypt
Dina Farms Mango Juice - 250ml,Dina Farms,16.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h27/h1a/47699721945118/200Wx200H_528941_main.jpg,Egypt
Dina Farms Cheddar Spread Cheese - 500 gram,Dina Farms,117.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h70/hdc/50634078388254/200Wx200H_616296_main.jpg,Egypt
Dina Farms Natural light Yogurt - 105 gram,Dina Farms,7.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0f/h54/47699691274270/200Wx200H_463153_main.jpg,Egypt
