Description,Brand,Price,Img url,Country
Basma Frozen White Beans - 400 gram,Basma,20.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9e/h44/47992464998430/200Wx200H_588533_main.jpg,Egypt
Chicketita Spicy Chicken Pane - 400 gram,Chicketita,60.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha5/h01/26549677817886/534730_main.jpg_200Wx200H,Egypt
Chicketita Beef Hotdog - 25 Pieces,Chicketita,124.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h31/hc8/29401374031902/585170_main.jpg_200Wx200H,Egypt
Sea Star Smoked Salmon - 200 gram,Sea star,329.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h40/h7b/9286503170078/230950_main.jpg_200Wx200H,Egypt
Faraza Chicken Fillet - 900 gram,Unknown,245.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0a/ha5/45710411137054/200Wx200H_600873_main.jpg,Egypt
Nouri Crunchy Chicken Fillet - 420 gram,Unknown,97.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3c/h02/45710394720286/200Wx200H_600855_main.jpg,Egypt
"Chicketita Fried Chicken, Spicy - 12 Pieces",Chicketita,151.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2f/ha9/9802654842910/450683_main.jpg_200Wx200H,Egypt
Farm Fresh Artichoke - 400gm,Farm fresh,47.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h26/h9f/34566784974878/12689_main.jpg_200Wx200H,Egypt
Halwani Chicken Drumsticks - 700gm,Halwani bros,142.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/hc8/9802031398942/448256_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Kiev - 400 gram,Halwani bros,140.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he1/hb0/14773473804318/496099_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Fingers - 400 gram,Halwani bros,105.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h22/h1d/14773447688222/448252_main.jpg_200Wx200H,Egypt
Farm Fresh Okra Zero - 400 Gram,Farm fresh,25.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/haa/h50/34566785171486/310894_main.jpg_200Wx200H,Egypt
Bosphorus Frozen Peeled Shrimps - Size 10/20 - 400 gram,Bosfor,324.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h40/h2b/14623781027870/530030_main.jpg_200Wx200H,Egypt
Shahd Spicy Chicken Strips - 400 gram,Shahd,105.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb8/h83/50270987747358/200Wx200H_554961_main.jpg,Egypt
Shahd Fresh Chicken Fillet - 400 gram,Shahd,99.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h52/h7d/50270987583518/200Wx200H_555154_main.jpg,Egypt
Farm Fresh Green Beans  - 400  Gram,Farm fresh,10.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0e/h16/34674363727902/493437_main.jpg_200Wx200H,Egypt
Montana Mixed Vegetables - 400 gram,Montana,13.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8d/h19/14623557091358/12492_main.jpg_200Wx200H,Egypt
Faraza Whole Chicken - 1200-1300 gram,Unknown,176.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h08/h15/45710409662494/200Wx200H_600871_main.jpg,Egypt
Basma Sweet Corn - 400 gram,Basma,39.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hff/h94/49845056176158/200Wx200H_602597_main.jpg,Egypt
Halwani Bros Chicken Pane Spicy - 400 gram,Halwani bros,103.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h31/h28/14773442805790/311842_main.jpg_200Wx200H,Egypt
Meatland Oriental Sausage - 850 gm,Meatland,137.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdf/ha0/9286831374366/366481_main.jpg_200Wx200H,Egypt
Bosphorus White Fillet Fish 1 kg,Bosfor,225.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h76/h4c/14854261211166/535046_main.jpg_200Wx200H,Egypt
Bosphorus Frozen Peeled Shrimps - Size 40/60 - 400 gram,Bosfor,273.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcb/h0a/14624044613662/530033_main.jpg_200Wx200H,Egypt
Farm Fresh Okra Fine - 400 Gram,Farm fresh,11.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h44/h4a/34566785335326/310895_main.jpg_200Wx200H,Egypt
Bosphorus Frozen Peeled Shrimps - Size 30/40 - 400 gram,Bosfor,219.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hed/h7e/14623776636958/530032_main.jpg_200Wx200H,Egypt
Montana Frozen Okra - 400 Gram,Montana,8.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h02/hba/17157282594846/12483_main.jpg_200Wx200H,Egypt
Bosphorus Frozen Peeled Shrimps - Size 20/30 - 400 gram,Bosfor,303.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h15/h86/14623776407582/530031_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Pizza - 400 gram,Halwani bros,140.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4c/hf0/14773521612830/496100_main.jpg_200Wx200H,Egypt
Chef M Sambousek Pastry - 800gm - Pack of 1+1,Chef mimo,46.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha2/hc8/9347183804446/151959_main.jpg_200Wx200H,Egypt
Three Chefs Hot Dog - 13 Pieces -1Kg,3 Chefs,226.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h64/h39/50947257499678/200Wx200H_542548_main.jpg,Egypt
